DZ_Nr,DZ_Name,Land_Nr,DTV_Kfz_MobisSo_Q,DTV_SV_MobisSo_Q,Koor_WGS84_N,Koor_WGS84_E
9539,AS Allersberg (S),9,74.193,11.082,49.22113277,11.22525394
9623,AS Bayreuth-Nord,9,64.43,11.463,49.95164107,11.60775286
9622,AS Bindlacher Berg,9,67.683,11.539,49.98140335,11.60732188
9620,AS Hof-West,9,65.786,14.371,50.20690337,11.77766032
9621,AS Münchberg-Nord,9,64.665,14.377,50.17874002,11.75382612
9536,AS Pegnitz,9,56.868,11.065,49.72858577,11.50980347
9058,Allershausen (N),9,,,48.47087009,11.58601215
9062,Garching-Nord (N),9,138.067,12.271,48.27587697,11.64249927
9063,Garching-Nord (S),9,146.579,13.088,48.25821797,11.64712540
9061,Greding (N),9,73.103,11.244,49.05102491,11.33127420
9552,Ingolstadt-Nord (S),9,103.678,11.84,48.76465310,11.45952192
9728,Lauf (N),9,75.867,12.985,49.50422704,11.29117128
9090,Lenting (S),9,86.494,11.03,48.78362659,11.45997235
9554,Manching (N),9,98.034,11.978,48.72773130,11.47460354
9242,München-Fröttmaning-Süd,9,112.304,6.58,48.19846317,11.61797135
9064,München-Schwabing (N),9,88.975,5.032,48.18533873,11.60847490
9029,Pegnitz (N),9,54.989,10.613,49.73265532,11.51335194
9540,AS Alzenau-Nord,9,39.782,5.721,50.09606532,9.03105469
9950,Alzenau (S),9,41.741,5.828,50.08345032,9.03575643
9053,AD Bayreuth/Kulmbach (W),9,24.421,4.255,50.02601661,11.59757080
9203,AD Schweinf./Werneck (O),9,45.182,7.527,50.00041105,10.10804188
9234,AD Werntal (O),9,46.553,6.909,50.02121562,10.16840663
9233,AD Werntal (W),9,48.676,7.889,50.01480758,10.15915545
9068,AK Bamberg (O),9,24.788,3.948,49.93157676,10.92728845
9024,AK Bamberg (W),9,44.776,6.14,49.92483574,10.90725348
9549,AS Bamberg-Hafen,9,44.558,5.945,49.91986671,10.87045433
9547,AS Eltmann,9,29.711,5.102,49.96628899,10.72033283
9544,AS Gochsheim,9,35.632,5.425,50.02613166,10.31236689
9580,AS Hallstadt,9,48.985,6.698,49.92226360,10.88806771
9546,AS Knetzgau,9,25.112,3.906,49.97815652,10.62971614
9545,AS Schonungen,9,28.808,4.944,50.00287534,10.41786611
9541,AS Schweinf./Bergrheinf.,9,43.643,6.567,50.02126408,10.19693043
9542,AS Schweinfurt-Hafen,9,40.821,6.261,50.02275827,10.22817337
9543,AS Schweinfurt-Zentrum,9,36.538,5.402,50.02690664,10.24857221
9548,AS Viereth-Trunstadt,9,32.662,4.841,49.92548494,10.81331477
9256,Knezgau (W),9,25.49,4.634,49.98304209,10.54255318
9232,AD Werntal (N),9,23.931,2.701,50.02010093,10.16202895
9166,Mellrichstadt (N),9,13.626,2.101,50.42878647,10.39142040
9167,Pfersdorf,9,24.795,2.567,50.13024904,10.14984215
9025,AD Bayer. Vogtland (O),9,31.884,7.141,50.32652079,11.79740141
9095,AD Hochfranken (O),9,37.77,7.567,50.38902142,11.97704256
9094,AD Hochfranken (W),9,37.083,8.281,50.37981273,11.95305065
9005,AD Nürnberg/Feucht (W),9,31.117,5.133,49.36277672,11.19864156
9101,AK Bamberg (N),9,41.646,4.525,49.93518681,10.91097628
9952,AK Fürth/Erlangen (N),9,80.383,7.005,49.56790328,10.99106615
9953,AK Fürth/Erlangen (S),9,67.755,5.233,49.55165903,10.99292785
9581,AK Kreuz Bamberg,9,58.146,7.73,49.92522955,10.92180553
9588,AS Baiersdorf-Nord,9,60.965,6.601,49.65144787,11.03028134
9587,AS Baiersdorf-Nord (N),9,,,49.68673483,11.05721482
9582,AS Bamberg-Ost,9,47.514,6.882,49.88587337,10.94929451
9583,AS Bamberg-Süd,9,49.118,5.593,49.85846754,10.97349020
9585,AS Buttenheim,9,47.04,5.641,49.76514484,11.05108583
9650,AS Erlangen-Eltersdorf,9,64.287,5.449,49.53693067,10.99266154
9660,AS Erlangen-Nord,9,75.25,7.367,49.60023022,10.99830624
9661,AS Erlangen-Zentrum,9,79.803,6.756,49.58761479,10.99085419
9586,AS Forchheim-Nord,9,47.423,5.928,49.72513161,11.05331752
9584,AS Hirschaid,9,49.3,5.741,49.80070700,11.01944890
9589,AS Möhrendorf,9,67.376,6.864,49.62591206,11.00753908
9662,AS Nürnberg-Königshof,9,88.489,11.307,49.39508563,11.10498707
9593,AS Nürnberg-Zollhaus (S),9,83.269,10.306,49.37883562,11.13499627
9594,AS Wendelstein-Nord,9,49.415,6.256,49.37383618,11.14901922
9021,Bamberg-Ost (N),9,56.222,7.445,49.91174356,10.94004501
9306,Ebensfeld,9,,,50.06352615,10.97263421
9165,Eisfeld (S),9,14.37,2.006,50.37984403,10.91587314
9004,Nürnberg-Hafen-Ost (S),9,88.672,8.512,49.40199116,11.07369255
9111,Nürnberg/Fürth (N),9,71.293,5.346,49.47246024,11.01516201
9333,Röthenbach b.St.W. (O),9,47.592,6.03,49.36852851,11.17163932
9235,Untersiemau (N),9,16.625,2.185,50.16686764,11.00748688
9236,Untersiemau (S),9,25.179,2.773,50.15815805,11.01691000
9035,AD Würzburg-West (S),9,29.984,5.269,49.73186512,9.82558323
9217,AD M.-Feldmoching (N),9,59.463,5.403,48.24495409,11.53367972
9007,AK Neufahrn (O),9,103.411,,48.32880671,11.65067653
9015,AK Neufahrn (W),9,,,48.30485655,11.59701440
9184,AS Erding,9,40.913,4.564,48.38901381,11.78618057
9185,AS Flughafen München,9,102.559,9.317,48.33792906,11.70888762
9182,AS Freising Mitte,9,51.618,5.454,48.35150813,11.72828140
9183,AS Freising Ost,9,51.034,6.995,48.37514692,11.74991169
9017,Altdorf (O),9,43.396,5.646,48.56995703,12.11390916
9019,Landau a.d. Isar (W),9,32.821,4.636,48.68853540,12.64836728
9006,Oberschleißheim (O),9,62.39,6.601,48.25963991,11.53469968
9096,AD Hochfranken (S),9,21.478,4.297,50.37926833,11.96403906
9190,AD Inntal (S),9,50.545,8.168,47.79483521,12.08998953
9087,AK Oberpfälzer Wald (S),9,35.315,5.814,49.50541742,12.18077432
9045,AK Regensburg (N),9,71.571,6.891,48.99708771,12.06339849
9629,Fischbach am Inn,9,47.476,8.033,47.71146732,12.15058062
9191,Kiefersfelden (S),9,40.034,7.875,47.60601589,12.19531279
9044,Rgb.-Königswiesen (S),9,66.835,6.994,49.00861992,12.06058092
9049,Rgb.-Pfaffenstein (N),9,70.014,6.533,49.03669376,12.08780390
9902,Schwandorf-Mitte (N),9,45.652,6.674,49.31919088,12.15459238
9099,Selb-West (S),9,23.503,4.376,50.15366608,12.09939781
9030,Siegenburg (S),9,26.014,2.596,48.74539476,11.86063601
9901,Wernberg-Köblitz (S),9,35.695,5.529,49.52612820,12.15217097
9840,AK München-Ost (O),9,,,48.14259670,11.76159587
9987,Feldkirchen-Ost (W),9,,,48.14269663,11.73098585
9986,München-Riem (O),9,,,48.14222030,11.70408307
9985,München-Riem (W),9,66.849,3.268,48.13730673,11.67953115
9984,Wimpasing,9,21.964,4.319,48.24783831,12.40571395
9151,AD Starnberg (N),9,62.174,2.166,48.02230763,11.42045172
9164,Murnau/Kochel (S),9,,,47.66206016,11.24500995
9043,München-Kreuzhof (W),9,71.089,2.099,48.10067303,11.49816872
9161,Seeshaupt (N),9,32.137,,47.85485571,11.38688235
9222,Gräfelfing (W),9,101.989,4.578,48.12741893,11.43780820
9136,Landsberg a. L.-Nord (O),9,64.147,5.605,48.06268166,10.87874943
9250,Lindau (S),9,33.009,4.014,47.54779128,9.73536719
9106,München-Laim (W),9,102.882,4.337,48.12400114,11.49134959
9550,Stetten (W),9,38.87,5.158,48.03758192,10.37688950
9207,AD M.-Feldmoching (O),9,76.567,9.939,48.22693209,11.56448447
9216,AD M.-Feldmoching (W),9,,,48.22274246,11.52173207
9775,AD München-Allach (O),9,122.048,,48.20973238,11.46877704
9774,AD München-Eschenried (O),9,,,48.20593508,11.40454843
9215,AK München-Nord (W),9,84.12,10.124,48.22791778,11.60643265
9212,AK München-Ost (N),9,121.369,17.63,48.15746696,11.74935711
9213,AK München-Ost (S),9,112.857,12.54,48.13373584,11.75912289
9220,AK München-West (N),9,60.744,5.448,48.19115543,11.43765740
9219,AS Germering-Nord (N),9,78.528,6.604,48.15561770,11.39938406
9218,Aschheim-West,9,125.356,18.71,48.20668853,11.65240389
9211,Aschheim/Ismaning (S),9,132.008,16.926,48.18335095,11.72185751
9155,Feldmoching,9,119.349,14.728,48.22261325,11.52123881
9228,Hohenbrunn,9,98.096,,48.05742549,11.69785239
9244,Neu-Keferloh,9,,,48.07969138,11.73510692
9229,Ottobrunn,9,,,48.03613406,11.67571944
9150,AD Starnberg (W),9,28.894,758,48.00512629,11.39575707
9221,München-Giesing (S),9,56.221,2.683,48.09064708,11.59072960
353,AS Eppelborn,10,22.584,2.437,49.41525237,6.98198701
173,Bierfeld,10,25.563,3.797,49.60100133,6.96542469
181,Göttelborn,10,16.438,756,49.34722888,7.01464140
177,Hasborn,10,20.261,2.373,49.47640096,6.97836951
182,Holz,10,16.201,749,49.32787027,6.99875523
180,Illingen,10,32.224,2.658,49.36782577,7.00272519
175,Kastel,10,17.158,2.252,49.57059938,6.97381652
185,Kirschheck,10,20.324,649,49.27986791,6.96243098
172,Nonnweiler,10,25.298,3.715,49.61333587,6.95678203
174,Otzenhausen,10,20.081,2.564,49.58985884,6.98932774
183,Riegelsberg,10,18.365,884,49.31428449,6.96992452
823,Saarbrücken-Neuhaus,10,11.542,547,49.29163294,6.95722539
304,Von der Heydt,10,20.328,698,49.27113733,6.96139813
103,AK Neunkirchen,10,36.796,3.937,49.29785321,7.22917042
105,Bexbach,10,46.693,6.774,49.33039700,7.27979474
101,Bischmisheim,10,29.772,2.005,49.23076130,7.08073420
104,Homburg,10,38.882,6.394,49.35278903,7.32218655
102,Kahlenberg,10,38.485,3.963,49.27259918,7.14816086
107,SB-Goldene Bremm,10,9.192,1.718,49.20892083,6.98996877
109,Sengscheid,10,39.593,3.812,49.26157042,7.10731790
200,AD Saarlouis,10,43.733,4.936,49.33545645,6.72978896
135,Bayrisch Kohlhof,10,51.426,6.932,49.31169432,7.24788594
407,Dillingen-Mitte,10,44.144,4.188,49.35839831,6.69674464
132,Einöd,10,34.516,3.697,49.30134762,7.28168814
141,Elversberg,10,58.336,6.88,49.31398463,7.09450125
142,Friedrichsthal,10,,,49.32410563,7.07611338
140,Heinitz,10,55.936,6.775,49.32348979,7.12580933
145,Heusweiler,10,37.17,5.043,49.35176400,6.97158267
148,Hülzweiler,10,31.263,4.697,49.33672800,6.80376456
136,Kohlhof,10,54.71,7.286,49.32022911,7.23739281
134,Limbach,10,43.746,4.215,49.30766201,7.26083750
154,Mechern,10,32.463,3.44,49.42157204,6.63370515
144,Merchweiler,10,49.008,5.824,49.34628981,7.04510674
214,Nalbach,10,,,49.34591376,6.78373006
146,Niedersalbach,10,31.126,4.675,49.33349284,6.89451086
143,Quierschied,10,50.926,6.024,49.33635616,7.06357438
324,Saarlouis-Röderberg,10,39.461,5,49.34261006,6.76669204
147,Schwarzenholz,10,30.914,4.707,49.31918938,6.86322540
153,Schwemlingen,10,25.735,3.202,49.45266382,6.61397770
139,Spiesen,10,52.901,6.645,49.32204143,7.13871031
138,Spiesen 2,10,47.381,6.637,49.32589170,7.17363403
151,Steinrausch,10,41.231,4.982,49.34217902,6.74703896
400,Tunnel Pellinger Berg,10,19.396,2.73,49.45078628,6.49865359
137,Wellesweiler,10,45.317,6.419,49.32760005,7.21843581
191,Freisen,10,16.649,2.192,49.54525437,7.25766016
133,Nohfelden,10,14.115,1.998,49.58452934,7.10936797
194,Sötern,10,15.295,1.975,49.59290343,7.05488235
130,AS Lisdorf,10,37.416,1.973,49.28600999,6.76211019
121,Fenne,10,52.936,2.817,49.24729476,6.89554867
124,Hostenbach,10,38.572,2.297,49.26709960,6.81640264
127,Saarlouis,10,50.966,3.105,49.30921882,6.73161820
122,Völklingen,10,46.91,2.47,49.24179342,6.85816042
128,Wallerfangen,10,,,49.32651064,6.73244771
123,Wehrden,10,,,49.24577529,6.83434874
248,Altenwald,10,35.374,2.436,49.31763048,7.07700820
246,Camphausen,10,39.376,2.249,49.29607741,7.03229827
521,Herrensohr,10,35.902,2.011,49.28754207,7.02046104
544,Hühnerfeld,10,40.947,,49.30883006,7.06245458
245,Jägersfreude,10,41.341,2.057,49.27146018,7.00150910
2014,Britz,11,122.819,6.512,52.46090577,13.41272748
2006,Friedenau (N),11,142.538,7.911,52.47793731,13.32411575
2003,Halensee,11,160.966,8.222,52.49725522,13.28299969
2005,Westend (O),11,143.805,8.509,52.51976892,13.28260855
2004,Friedenau (O),11,52.253,1.356,52.46668852,13.33722148
2010,Heiligensee 2,11,49.185,4.329,52.62270352,13.24845781
2008,Reinickendorf (S),11,111.369,6.848,52.54916706,13.30148816
2012,Neukölln,11,100.207,5.589,52.45860099,13.45818833
2013,Schönefeld,11,64.092,5.203,52.40217245,13.52070698
2011,Buchholz,11,34.058,1.762,52.61889325,13.43798044
2002,Eichkamp,11,85.215,5.83,52.49320913,13.26570958
3601,Lehnin,12,57.462,14.558,52.34070440,12.75185670
3628,Niemegk,12,49.825,9.568,52.13863908,12.75924109
3602,Erkner,12,51.798,9.932,52.42549042,13.78698524
3605,Kemnitz,12,,,52.40608916,12.87734712
3667,Lindenberg,12,52.317,6.469,52.61631602,13.52467708
3603,Ludwigsfelde,12,70.886,16.967,52.30730937,13.30201798
3604,Michendorf,12,,,52.30069461,13.02329463
3606,Oranienburg,12,58.506,8.493,52.70572044,13.16385721
3629,Birkholz,12,46.411,4.14,52.64125339,13.56682919
3607,Finowfurt,12,28.665,3.548,52.85638528,13.67132210
3608,Fürstenwalde,12,42.012,11.647,52.33465498,14.07192627
3630,Güldendorf,12,27.968,11.445,52.31708232,14.52798316
3610,Gollmitz,12,,,51.68516824,13.90097180
3609,Motzen,12,,,52.19603734,13.61529248
3664,Boblitz,12,,,51.83994903,13.94303555
3684,Forst,12,8.893,2.885,51.66675466,14.75124912
3612,Havelland,12,,,52.71527090,12.99716770
3611,Maulbeerwalde,12,26.906,4.843,53.17052999,12.34738567
3613,Netzeband,12,43.81,6.861,52.98644625,12.61636970
3631,Kiekebusch,12,,,52.35116653,13.55310448
3615,Drewitz,12,65.814,5.135,52.40199943,13.18695103
1607,Nadrensee,13,11.556,2.423,53.31742405,14.28386689
1602,Goldenstädt,13,11.349,958,53.43617186,11.50585200
1604,Kavelstorf,13,29.048,3.533,53.99745116,12.20079499
1606,Petersdorf,13,17.432,2.472,53.46077817,12.38309060
1615,Rostock-Nord,13,20.891,3.38,54.12133326,12.16195234
1613,Rostock-Ost,13,33.726,3.991,54.10883169,12.18581608
1605,Vietgest,13,17.937,2.398,53.76300340,12.32541043
1611,Jarmen,13,15.999,1.536,53.90513968,13.35014652
1608,Satow,13,34.058,3.408,53.98015238,11.91866138
1610,Strasburg,13,14.587,1.537,53.53174094,13.74491597
1609,Tessin,13,20.064,1.804,54.01230582,12.54820251
1601,Upahl,13,31.984,3.269,53.82266799,11.15868927
1614,Warnowtal,13,39.371,3.544,54.01972724,12.14244503
1612,Hagenow,13,28.381,5.06,53.46328782,11.34192727
1603,Hohewisch,13,30.286,4.922,53.40780015,11.56723187
4121,AD Dresden-Nord (O),14,61.023,10.756,51.13951344,13.75645632
4120,AD Dresden-Nord (W),14,97.207,14.97,51.12516550,13.74769459
4116,Burkau,14,42.41,9.416,51.18316973,14.16696198
4106,Gersdorf,14,63.659,11.385,50.95224840,13.06800331
4107,Hohenstein,14,38.247,6.29,50.81582350,12.66213636
4112,Ludwigsdorf (GÜG),14,22.881,7.476,51.18223035,15.00491692
4127,Meerane-West,14,33.673,6.853,50.83612161,12.36996501
4123,Nieder Seifersdorf,14,25.587,7.411,51.20775627,14.78886820
4105,Rothschönberg,14,92.873,18.557,51.05930653,13.48115530
4117,Wachau,14,50.063,,51.16879904,13.91698921
4119,AD Dresden-Nord (N),14,40.197,5.192,51.14018007,13.74946455
4124,Niederrödern,14,35.889,5.281,51.24708503,13.72654267
4102,Ammelshain,14,49.169,10.1,51.26481066,12.69314892
4156,Beucha,14,55.091,10.516,51.31018601,12.56171125
4162,Breitenfeld,14,66.354,10.477,51.40887701,12.37282344
4103,Choren,14,,,51.09229549,13.22591720
4158,Engelsdorf,14,52.077,8.336,51.34927782,12.50401740
4163,Leipzig-Nord,14,59.278,9.004,51.41560203,12.29365037
4101,Radefeld,14,59.552,9.277,51.41678242,12.27833270
4161,Seehausen,14,56.902,9.292,51.40186094,12.40519017
4157,Wolfshain,14,50.255,7.831,51.31418472,12.53395300
4118,Gompitz,14,51.547,8.053,51.04631149,13.60781449
4122,GÜG Breitenau-Schönwald,14,13.291,5.255,50.80480247,13.88095547
4125,Sobrigau,14,39.188,6.466,50.98223116,13.78855987
4152,Gaschwitz,14,34.941,6.109,51.24747548,12.37427689
4153,Kleinstädteln,14,40.92,6.602,51.24766249,12.41154214
4151,Knautnaundorf,14,33.97,5.973,51.26197791,12.28176034
4150,Leipzig-Südwest,14,30.833,5.699,51.26041150,12.25331237
4154,Liebertwolkwitz,14,36.877,6.411,51.26382688,12.47767797
4114,Gospersgrün,14,46.958,7.986,50.53989995,12.25780837
4109,Heinersgrün,14,37.481,7.547,50.39688166,12.00352941
4113,Hirschfeld,14,42.028,7.541,50.63224198,12.42771375
4108,Leukersdorf,14,60.547,8.052,50.77209283,12.81648045
4126,Niederfrohna,14,23.24,2.677,50.89298996,12.74517894
3837,Alleringersleben,15,74.104,20.356,52.20768356,11.16569948
3836,Bornstedt/Irxleben,15,73.638,19.353,52.17854897,11.47244949
3835,Hohenwarthe,15,65.601,14.392,52.22154933,11.71018305
3810,Theeßen,15,49.321,13.041,52.24389139,12.14492998
3905,Bad Dürrenberg Süd,15,65.828,14.041,51.28185176,12.12393545
3811,Dessau,15,58.555,8.53,51.74598665,12.22310072
3904,Günthersdorf,15,68.976,14.103,51.33428110,12.17844686
3809,Leipzig West,15,80.149,15.434,51.35628602,12.18838709
3906,Rippachtal Süd,15,72.423,14.668,51.22371396,12.04596012
3902,Schkeuditzer Kreuz Süd,15,75.771,15.211,51.41276332,12.18956922
3804,Vockerode,15,57.822,9.884,51.86106320,12.35498042
3901,Wiedemar,15,62.902,10.839,51.44148904,12.20612662
3839,AK Magdeburg Nord,15,11.701,2.229,52.18147838,11.54798063
3838,AK Magdeburg Süd,15,42.535,9.746,52.15509116,11.54400802
3833,Gröbers,15,49.885,9.789,51.43234398,12.17178861
3908,Halle-Trotha/Teufelsgrund,15,34.469,9.207,51.56937654,11.96041932
3909,Osterweddingen,15,41.951,8.926,52.05747845,11.59698441
3832,Plötzkau,15,35.356,9.091,51.72704970,11.67749712
3915,Reform,15,43.326,9.149,52.02665074,11.64333863
3907,Schkeuditzer Kreuz Ost,15,62.397,9.975,51.42462121,12.21980347
3914,Schönebeck,15,37.009,8.519,51.99476192,11.66397969
3916,Sudenburg,15,39.403,9.14,52.07763858,11.54650841
3917,Wanzleben,15,41.628,9.645,52.09567791,11.53118967
3912,Helmetal,15,27.542,6.382,51.45148768,11.23376490
3910,Lützen,15,31.544,5.921,51.23544981,12.12032730
3911,Merseburg/Geiseltal,15,30.014,6.307,51.34375785,11.92434651
3834,Rippachtal West,15,31.085,6.824,51.24032550,12.03179093
3913,Rohnetal,15,28.988,6.831,51.43571623,11.43439618
3840,Halle-Pappelgrund,15,6.799,911,51.46683798,11.85693185
4352,AK Erfurt/Ost,16,59.483,9.954,50.89766645,10.96948315
4351,AK Erfurt/West,16,58.71,10.566,50.89249019,10.94428221
4301,Gotha,16,48.719,9.272,50.90148399,10.72570439
4305,HK/Ost,16,40.114,7.351,50.88160265,11.85709766
4304,HK/West,16,62.219,10.97,50.87947677,11.83939744
4303,Ronneburg,16,37.786,7.031,50.87192047,12.21994464
4366,Tunnel Jagdberg,16,59.031,10.635,50.87513223,11.55915073
4302,Weimar,16,59.879,10.216,50.94324565,11.30388412
4320,Bad Klosterlausnitz,16,66.973,13.03,50.92450845,11.83930418
4322,HK/Nord,16,65.991,13.369,50.88929991,11.84521506
4321,HK/Süd,16,48.525,10.239,50.87571122,11.84754493
4323,Schleiz,16,43.629,9.611,50.54965203,11.79356461
4372,Röstebachtalbrücke,16,23.728,5.491,51.39863942,10.38485443
4345,AD Suhl/Ost,16,23.797,3.7,50.61584273,10.65713992
4346,AD Suhl/West,16,17.8,2.386,50.60916622,10.63774337
4341,AK Erfurt/Nord,16,28.99,3.301,50.90153736,10.94566450
4342,AK Erfurt/Süd,16,31.614,3.679,50.89234453,10.97003534
4333,Berg Bock,16,24.111,3.719,50.63720466,10.67909120
4334,Eichelberg,16,13.937,2.109,50.51185632,10.44938955
4331,Hochwald,16,26.727,3.484,50.65077815,10.69064064
4330,Rennsteig,16,24.092,3.298,50.66910800,10.68910183
4340,Tunnel Schmücke,16,12.804,1.8,51.27081806,11.21381306
4382,AD Suhl/Süd,16,14.557,2.153,50.60280235,10.64423905
